Ticker,P/E Ratio % Change
ULY,-0.9990192538643572
ENTO,-0.9981126708954469
RGS,-0.9859120284473519
JBI,-0.6240600171013356
EPD,-0.5980794078083073
PCN,-0.5897369694160143
EMN,-0.5840211495526587
PMM,-0.5643723770893604
CRCT,-0.53482507155948
KMT,-0.522462722555351
EMD,-0.45466936826366944
YELP,-0.447931556634037
TIGO,-0.43623077134089355
RCG,-0.3758514389838187
CWCO,-0.33510654312322885
SDHC,-0.3217201009645372
EPAC,-0.2617016359045239
PKE,-0.25555425364962253
ONIT,-0.20819838907490482
REZI,-0.20017137394692838
AMCX,-0.19216968899997286
NATR,-0.1731016441118446
WEC,-0.111882764388805
SCL,-0.07259714756668964
ISRG,-0.05976442188911527
PMN,0.06864329512509926
DHX,0.16362585466304438
IBM,0.3401244743095787
USLM,
FHB,
BGR,
CPB,-0.09710097036122531
LOMA,0.01196926748041983
LMNR,1.5653944534640705
TPL,2.41115041368933
FRPT,5.301883399789278
EA,
DRVN,
HAO,
SNDR,-0.025668678543020764
MQ,
BIT,
FSCO,
KIM,
PRK,
NREF,
CRM,
SER,0.28748789066025365
METCB,0.3098142402387129
NEP,0.3510948443527385
USAC,0.3695058460537317
OVLY,
BZ,
UP,-0.9945428115238952
PKOH,-0.899770645423711
ATMV,-0.7873048103791448
DLNG,-0.7603499944290265
EFT,-0.711298885167149
EGY,-0.6775097257496006
TEI,-0.6456515544058883
CDTG,-0.6416525365251473
CARS,-0.5640912041545645
SENEB,-0.5239508459642441
DLHC,-0.5163402554761195
RTX,-0.43827670920748657
JWN,-0.42958759306141625
CMPR,-0.3936356287965304
GEO,2.926394491727099
BWBBP,
PCB,
MSD,
SQNS,-0.9920427935975807
AMTD,-0.9807467330142571
ICL,-0.7380406689835017
GOGL,-0.6143746572114889
VRNT,-0.5959835936785752
MARPS,-0.42861102156923997
CPBI,-0.3857687400719031
ESAB,-0.3431161813044547
CSL,-0.34304253176131116
PDCO,-0.30788908716134594
HRMY,-0.3034579364439981
HLN,-0.27899794613083784
ARTNA,-0.2726342995004684
ICFI,-0.26163968485949585
FUFU,-0.15900889818442776
ALTM,-0.09583248968990357
GD,0.028130206442586042
LCII,0.15171231405573538
KTF,0.23203638905573606
EXPO,0.5138910696774843
LGTY,
CLIK,
KNX,3.930138354827708
RBCAA,
BTOC,
ATMU,-0.042115731255989004
RCL,0.25276410823228745
